"Entahlah gw paling sebel ama kementrian pariwisata, kerjanya promosi tempat wisata, tapi tempat wisatanya banyak sampah."
"RT @dinkominfopbg: Dialog Bupati Pbg, @tasdipbg1  bersama Gubernur DKI, Jarot Saiful H @WagubDKI , terkait pengelolaan sampah, Smart City &amp;"
"RT @dinkominfopbg: Dialog Bupati Pbg, @tasdipbg1  bersama Gubernur DKI, Jarot Saiful H @WagubDKI , terkait pengelolaan sampah, Smart City &amp;"
"RT @dinkominfopbg: Dialog Bupati Pbg, @tasdipbg1  bersama Gubernur DKI, Jarot Saiful H @WagubDKI , terkait pengelolaan sampah, Smart City &amp;"
"Dialog Bupati Pbg, @tasdipbg1  bersama Gubernur DKI, Jarot Saiful H @WagubDKI , terkait pengelolaan sampah, Smart C https://t.co/xzndetlKsl"
"@me_jatmiko @FeryThea7 Sampah..pariwisata itu urusan kab.kota..pemprov dpt membantu dlm soal anggaran n fasilitasi.."
"#PARIWISATA -  60% Sampah di Lembang Berasal dari Tempat Wisata - https://t.co/jllfc2vb7V (Siaran Pers) https://t.co/FcwIeNEHwv"
"Lihat Pantai Kotor, Kadis Pariwisata Padang PungutiSampah https://t.co/3rooHYnBjx"
"Lihat Pantai Kotor, Kadis Pariwisata Padang PungutiSampah https://t.co/BwYL27EnBR"
"Libur Lebaran, Lautan Pasir Bromo Dipenuhi Sampah https://t.co/8O0GUGjHUY"
